ID,Artista
699,Madame
700,Cosmo
701,Bagarre
702,Yelle
703,Isabella Lovestory
704,Populous
705,Sonikku
706,ShyGirl
707,Coucou Chloe
708,Andrea Cerrato
709,Riccardo Fogli
710,Giordana Angi
711,Enrico Nigiotti
712,Alice
713,Fiordaliso
714,Rvfv
715,Skioffi
716,Gianni Bismark
717,Nerone
718,Claver Gold
719,Lovegang126
720,AXOS
721,Ensi
722,dj shocca
723,Cor Veleno
724,Inoki
725,Egreen
726,Stokka & Madbuddy
727,Jack the smoker
728,TREDICI PIETRO
729,Sottotono
730,Ivan Graziani
731,Enzo Jannacci
732,Gianmaria Testa
733,Giorgio Gaber
734,Ruth Lorenzo
735,Pastora Soler
736,Lena Philipsson
737,Eleftheria Eleftheriou
738,Alex Who?
739,Jamala
740,Gin Wigmore
741,Gigliola Cinquetti
742,Ann Sophie
743,Tony Renis
744,Fred Buscaglione
745,Rita Pavone
746,Edoardo Vianello
747,Renato Carosone
748,Jimmy Fontana
749,Paolo Conte
750,Fred Bongusto
751,Pino D'Angiò
752,Tony Dallara
753,Peppino Gagliardi
754,Luigi Strangis
755,Matteo Bocelli
756,Leo Gassmann
757,Alex Wyse
758,Måneskin
759,Mazzariello
760,Alex W
761,Aka 7even
762,Michele Merlo
763,Lowlow
764,Franco Ricciardi
765,Gabry Ponte
766,Prezioso
767,Eiffel 65
768,Avicii
769,Tacabro
770,DJ Antoine
771,Inna
772,LUM!X
773,Gigi D'Agostino
774,Madison Rose
775,Sofi Tukker
776,Bellini
777,Shanguy
778,A Touch of Class
779,Alexandra Stan
780,K-391
781,Deorro
782,R.I.O.
783,Andrea Bocelli
784,Alessandro Safina
785,Luciano Pavarotti
786,Patrizio Buanne
787,Nemo
788,Al Bano Carrisi
789,Premiata Forneria Marconi
790,Banco del Mutuo Soccorso
791,Quella Vecchia Locanda
792,Le Orme
793,Holden
794,La Niña
795,Claude
796,Konstrakta
797,Katerine Duska
798,Lia Larsson
799,Theodor Andrei
800,Diljá
801,Mariette
802,Nina Sublatti
803,Citi Zēni
804,Elvana Gjata
805,Raylee
806,Arilena Ara
807,The Busker
808,Robin Bengtsson
809,Srbuk
810,Reiley
811,James Newman
812,Emma Muscat
813,Systur
814,Carola
815,Sergio Endrigo
816,Nicola Di Bari
817,Alan Sorrenti
818,Peppino Di Capri
819,Thalía
820,Alejandro Sanz
821,Deborah Blando
822,Alex Ubago
823,Paulina Rubio
824,Lara Fabian
825,Céline Dion
826,Cristian Castro
827,La Oreja de Van Gogh
828,Amaia Montero
829,Sandy e Junior
830,La Quinta Estación
831,Chayanne
832,Ricardo Montaner
833,Jesse & Joy
834,Alejandra Guzmán
835,Kany García
836,Ricky Martin
837,Fey
838,Noelia
839,Miguel Bosé
840,Gloria Trevi
841,Ricardo Arjona
842,Sin Bandera
843,Franco De Vita
844,Gloria Estefan
845,David Bisbal
846,Ana Torroja
847,Reik
848,Dulce María
849,Rosana
850,Myriam Hernández
851,Diego Torres
852,Ella Baila Sola
853,María José
854,Camila
855,Playa Limbo
856,Kudai
857,Amaral
858,Alejandro Fernández
859,Anastacia
860,Delta Goodrem
861,Marisela
862,Luis Fonsi
863,A*Teens
864,Aleks Syntek
865,Marjorie Estiano
866,Belanova
867,Natalie Imbruglia
868,Carlos Rivera
869,RBD
870,Enrique Iglesias
871,Mecano
872,Yuridia
873,HA-ASH
874,Maite Perroni
875,Paty Cantú
876,Juanes
877,Tina Arena
878,OV7
879,Spice Girls
880,Kabah
881,Reyli Barba
882,Marta Sánchez
883,Käärijä
884,Elsie Bay
885,MILEO
886,Sam Ryder
887,Netta
888,Saara Aalto
889,Ochman
890,Tix
891,Gåte
892,Alexander Rybak
893,Margaret
894,Rosa Linn
895,Julie Bergan
896,Ciao Italia !
897,F.R. David
898,Ottawan
899,Secret Service
900,Chris Norman
901,Demis Roussos
902,C.C. Catch
903,Smokie
904,Baccara
905,Savage
906,Fancy
907,Teach-In
908,Arabesque
909,Thomas Anders
910,Bad Boys Blue
911,Patty Ryan
912,Laid Back
913,Stars On 45
914,Space
915,Gazebo
916,Silent Circle
917,Claudia Mori
918,Afric Simone
919,Brotherhood of Man
920,Игорь Корнелюк
921,ABBA
922,Dschinghis Khan
923,Игорь Саруханов
924,Sandra
925,Алла Пугачёва
926,Boney M.
927,Drupi
928,Александр Серов
929,Gloria Gaynor
930,Modern Talking
931,Jason Donovan
932,Мираж
933,Александр Барыкин
934,Lian Ross
935,ВИА Пламя
936,I Santo California
937,София Ротару
938,Radiorama
939,Chilly
940,ЛАСКОВЫЙ МАЙ
941,Shakin' Stevens
942,Army of Lovers
943,Chris de Burgh
944,Mark Ashley
945,Goombay Dance Band
946,Eruption
947,Sabrina
948,Francesco Napoli
949,chiamamifaro
950,svegliaginevra
951,Linea 77
952,J-AX & Fedez
953,GIIN
954,Dea Culpa
955,Arianna Rozzo
956,Ciao sono Vale
957,Cosmonauti Borghesi
958,Selmi
959,Miki Núñez
960,Fasma & GG
961,Sidy
962,settembre
963,Tony 2Milli
964,Alex H
965,Roald Velden
966,Little Tony
967,Iva Zanicchi
968,Heinz Rudolf Kunze
969,Molly Sandén
970,Blanka
971,Cazzi Opeia
972,Benjamin Ingrosso
973,Liamoo
974,Tusse
975,Molly Hammar
976,Darin
977,Ace Wilder
978,Julieta
979,Aitana
980,Natalia Lacunza
981,Samuraï
982,Amaia
983,Sofía Martín
984,Suzete
985,Miriam Rodríguez
986,LUNA KI
987,CHICA SOBRESALTO
988,Paul Thin
989,Paula Cendejas
990,JUDELINE
991,Samantha Hudson
992,Ruslana
993,Edurne
994,Alba Reche
995,Ana Guerra
996,Sofia Coll
997,Paula Koops
998,Zahara
999,Martin Urrutia
1000,María José Llergo
1001,Agoney
1002,Emilia
1003,Sen Senra
1004,Guitarricadelafuente
1005,La Zowi
1006,Recycled J
1007,Rozalén
1008,Nathy Peluso
1009,Malú
1010,Ginebras
1011,Rocío Jurado
1012,BAJOCERO X
1013,Delaporte
1014,Nena Daconte
1015,Abraham Mateo
1016,Miss Caffeina
1017,CARIÑO
1018,Cami
1019,The Tyets
1020,veintiuno
1021,Pol Granch
1022,La La Love You
1023,ROSALÍA & Rauw Alejandro
1024,Quevedo
1025,Ariadna
1026,El Canto del Loco
1027,Beth
1028,Leo Rizzi
1029,iñigo quintero
1030,Pablo López
1031,Álvaro De Luna
1032,Marta Sango
1033,Mafalda Cardenal
1034,Nil Moliner
1035,Rosalía
1036,Fangoria
1037,La casa azul
1038,Ptazeta
1039,Conchita
1040,Lali
1041,Chenoa
1042,Melendi
1043,El Sueño de Morfeo
1044,Figa Flawas
1045,E'FEMME
1046,Sweet California
1047,La Bien Querida
1048,María Isabel
1049,Blas Cantó
1050,Nicki Nicole
1051,IzI
1052,Mietta
1053,Achille Togliani
1054,Nilla Pizzi
1055,Reamonn
1056,Kristian Leontiou
1057,Andreas Johnson
1058,The Kelly Family
1059,Eagle-Eye Cherry
1060,Fool's Garden
1061,Jay Smith
1062,Motel
1063,Virginelle
1064,Cherry
1065,Lolita
1066,Toy-Box
1067,Mickey B.
1068,Millionaires
1069,Denise
1070,Karen
1071,Helena
1072,Dr. Love
1073,Sin With Sebastian
1074,Martina
1075,Liza Hanim
1076,Go 2
1077,Leslie Parrish
1078,Nike Ardilla
1079,Froukje
1080,Black Box Recorder
1081,Rose
1082,Ken Laszlo
1083,Anggi Marito
1084,Tipsy & Tipsy
1085,Dato' Sri Siti Nurhaliza
1086,"Tananai, Annalisa"
1087,Bastard
1088,Tananai & Annalisa
1089,"Tyler, The Creator, Casey Veggies, Mike G"
1090,"Tyler, The Creator, Pharrell Williams"
1091,Musketeers
1092,"Tyler, The Creator, Na-Kel Smith, Jasper Dolphin, Lucas., L-Boy, Taco, Left Brain, Lee Spielman"
1093,"Tony Effe, Gaia"
1094,Fellow Fellow
1095,"Tyler, The Creator, Coco O., Erykah Badu"
1096,Mirrr
1097,"Tyler, The Creator, Hodgy"
1098,"Tyler, The Creator, Shane Powers"
1099,"Tyler, the Creator, Frank Ocean"
1100,"Gigi D'Alessio, Elodie, Ernia"
1101,Gaia
1102,The Toys
1103,"Tyler, The Creator, Frank Ocean, Laetitia Sadier"
1104,Misha Omar
1105,Any Other
1106,Dimartino
1107,C.S.I.
1108,Enzo Carella
1109,Vasco Brondi
1110,Offlaga Disco Pax
1111,Morgan
1112,Sergio Cammariere
1113,Il Teatro Degli Orrori
1114,Bluvertigo
1115,Piccolo Coro dell'Antoniano
1116,I Cavalieri Del Re
1117,Elisabetta Viviani
1118,Oliver Onions
1119,Elisabetta Cavalli
1120,Denise Misseri
1121,Vincent Thoma
1122,Gabriella Scalise
1123,Silvio Pozzoli
1124,Chiara Grispo
1125,Ruggero De I Timidi
1126,Giancarlo Magalli
1127,BardoMagno
1128,La Banda Dei Bucanieri
1129,Gazosa
1130,theØ
1131,Marjorie Biondo
1132,Ambra Angiolini
1133,Serena e i Bimbiallegri
1134,Alex Baroni
1135,Stefano Lentini
1136,Lu Colombo
1137,Gemelli Diversi
1138,Niko Pandetta
1139,Umberto Rosario Balsamo
1140,Hell Raton
1141,Cecco e Cipo
1142,Cranio Randagio
1143,Rumatera
1144,Manuel Meli
1145,Matteo Branciamore
1146,Simone Panetti
1147,Heather Parisi
1148,Cochi e Renato
1149,Sillyelly
1150,Luca Laurenti
1151,Domenico Bini
1152,Tony Tammaro
1153,Highsnob
1154,SETHU
1155,LEGNO
1156,Beba
1157,Adriano Pappalardo
1158,Serena Brancale
1159,Viito
1160,Piero Pelù
1161,Chadia Rodriguez
1162,Frenetik&Orang3
1163,CICCO SANCHEZ
