ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog,ZIndex
24060,The Triffids,62536,1145356,18.31485,2.96087,0.37306
24061,Richard Clapton,17792,147582,8.29438,2.2294,-0.69636
24062,The Go-Betweens,231771,4548279,19.62393,3.02645,0.46894
24063,Sherbet,26329,200225,7.60444,2.15227,-0.80913
24064,Big Pig,15508,118048,7.61158,2.1531,-0.80791
24065,Badfinger,738853,8076559,10.93119,2.47915,-0.33122
24066,White Lion,367672,3703145,10.07184,2.4044,-0.4405
24067,April Wine,177814,1746913,9.82432,2.38179,-0.47356
24068,Firehouse,326779,3685055,11.27686,2.50771,-0.28946
24069,Ric Ocasek,29924,286276,9.56644,2.35768,-0.50881
24070,Red Rider,84859,503769,5.93647,1.93679,-1.12417
24071,Blue Öyster Cult,1890127,34227843,18.10874,2.95014,0.35737
24072,Rush,1621900,75859258,46.77181,3.86643,1.69702
24073,Julian Lennon,190846,1103980,5.78463,1.91465,-1.15653
24074,Warrant,665367,6646687,9.98949,2.39693,-0.45143
24075,Frank Stallone,63914,340177,5.32233,1.84408,-1.25971
24076,Aerosmith,4108810,102703915,24.99601,3.25794,0.80739
24077,UFO,691925,10264133,14.83414,2.76216,0.08254
24078,Ted Nugent,614765,5554157,9.03458,2.30603,-0.58432
24079,Thin Lizzy,1436989,27323242,19.01421,2.99644,0.42507
24080,Led Zeppelin,4261770,272087551,63.84377,4.17198,2.14374
24081,Alice Cooper,1883074,42744637,22.69938,3.16544,0.67215
24082,Dokken,386195,6422286,16.6296,2.86957,0.23958
24083,Mr. Big,718819,11459315,15.94184,2.82978,0.1814
24084,Mountain,656959,4842946,7.37175,2.12486,-0.8492
24085,Kiss,2692835,72148231,26.79265,3.32477,0.90509
24086,Vixen,159506,2465879,15.45937,2.80089,0.13917
24087,Honeymoon Suite,65017,577641,8.88432,2.29094,-0.60639
24088,Klaus Nomi,138835,1972276,14.20579,2.72167,0.02334
24089,Gene Loves Jezebel,137576,1523614,11.07462,2.4911,-0.31375
24090,Benny Mardones,62648,331517,5.29165,1.83922,-1.26682
24091,Joey Scarbury,55309,276652,5.00184,1.79206,-1.33577
24092,Josie Cotton,34826,183845,5.2788,1.83717,-1.26981
24093,Toto Coelo,24113,114668,4.75524,1.75011,-1.3971
24094,Philip Bailey & Phil Collins,73060,387823,5.3082,1.84185,-1.26297
24095,Shana,17095,106164,6.20987,1.97545,-1.06764
24096,Adrian Gurvitz,46017,214380,4.65861,1.73317,-1.42186
24097,Linear,32352,145077,4.48419,1.70186,-1.46764
24098,Noel,119118,1095870,9.19979,2.32236,-0.56045
24099,Freestyle,170026,1301717,7.65594,2.15824,-0.8004
24100,Daryl Hall,148742,973195,6.54279,2.02059,-1.00165
24101,Steely Dan,1492542,53694934,35.97546,3.61025,1.32248
24102,Looking Glass,568962,4132293,7.26285,2.11176,-0.86835
24103,Todd Rundgren,732443,11515683,15.72227,2.81674,0.16234
24104,Pete Shelley,84312,532615,6.31711,1.99021,-1.04606
24105,Classix Nouveaux,68400,543577,7.94691,2.1913,-0.75206
24106,Philip Oakey & Giorgio Moroder,39733,203062,5.11053,1.81001,-1.30952
24107,Telex,81961,747496,9.12003,2.31451,-0.57193
24108,Red Box,45503,487409,10.71134,2.46055,-0.35841
24109,Hue And Cry,38402,262716,6.84102,2.05936,-0.94496
24110,"Charli xcx, Caroline Polachek",12868,104314,8.10583,2.20891,-0.72632
24111,"Charli xcx, Shygirl",9216,101882,11.0537,2.48937,-0.31628
24112,"Charli xcx, Tinashe",7210,41281,5.72472,1.90579,-1.16949
24113,"Charli xcx, Bb trickz",9415,76086,8.0805,2.20612,-0.7304
24114,"Charli XCX, The Japanese House",6980,35568,5.09497,1.80746,-1.31325
24115,"Charli xcx, Kesha",5036,34143,6.77843,2.05135,-0.95668
24116,"Charli xcx, A. G. Cook",6085,29484,4.84456,1.76551,-1.37458
24117,"Charli xcx, Bladee",7740,37628,4.86087,1.76829,-1.37052
24118,"Charli xcx, Bon Iver",5978,27250,4.55761,1.71516,-1.4482
24119,"Charli xcx, Julian Casablancas",6409,29478,4.59875,1.72254,-1.43741
24120,"Charli xcx, The 1975, Jon Hopkins",6404,24801,3.87213,1.58353,-1.64064
24121,"Charli xcx, Addison Rae, A. G. Cook",12963,121077,9.33947,2.33596,-0.54057
24122,"Charli xcx, Robyn, Yung Lean",12149,85510,7.03786,2.08416,-0.90871
24123,"Charli XCX, HAIM",4700,19243,4.09338,1.62794,-1.57571
24124,"Charli XCX, Kim Petras, Tommy Cash",6584,29872,4.53637,1.71133,-1.45379
24125,"Charli XCX, Sky Ferreira",7224,38178,5.28415,1.83803,-1.26856
24126,"Charli XCX, Christine and the Queens",11719,63256,5.39726,1.85586,-1.24249
24127,"Charli XCX, Lizzo",6565,27006,4.113,1.63178,-1.5701
24128,"Charli XCX, Clairo, Yaeji",5794,25623,4.42157,1.69038,-1.48442
24129,"Charli XCX, Kim Petras, Jay Park",8939,45217,5.05782,1.80134,-1.3222
24130,"Charli XCX, Tommy Cash",4234,22510,5.31523,1.84296,-1.26135
24131,"Charli XCX, Tove Lo, ALMA",5776,25233,4.36783,1.68042,-1.49899
24132,"FKA twigs, Koreless",8550,89961,10.52052,2.44412,-0.38243
24133,"Charli XCX, Big Freedia, cupcakKe, Brooke Candy, Pabllo Vittar",5784,27169,4.69645,1.73984,-1.41211
24134,"Charli XCX, MØ",5635,30057,5.33303,1.84577,-1.25724
24135,"Addison Rae, Arca",2827,15801,5.58734,1.88514,-1.19968
24136,"Charli XCX, Rina Sawayama",14310,89617,6.2621,1.98266,-1.0571
24137,"Charli XCX, BJ Burton",4846,25478,5.25644,1.83361,-1.27502
24138,"Charli XCX, Dorian Electra, Mykki Blanco",5601,30953,5.52534,1.87569,-1.2135
24139,"Arca, Tokischa",2435,17928,7.3596,2.12341,-0.85132
24140,"Charli XCX, cupcakKe, Pabllo Vittar, Brooke Candy",4655,25154,5.40249,1.85668,-1.24129
24141,"Charli xcx, Christine and the Queens, Caroline Polachek",9973,52237,5.23731,1.83054,-1.27951
24142,"Magdalena Bay, Grimes",3043,17449,5.73226,1.90691,-1.16785
24143,"Katy Perry, Kim Petras",3939,36751,9.32766,2.33482,-0.54223
24144,"Caroline Polachek, Charli xcx, George Daniel",4337,34013,7.84071,2.17936,-0.76952
24145,"Charli XCX, cupcakKe",3875,21099,5.44349,1.86307,-1.23195
24146,"Cynthia Erivo, Ariana Grande",7246,98009,13.52407,2.6758,-0.04371
24147,"Shygirl, Empress Of, Kingdom, Club Shy",3110,16963,5.45258,1.86448,-1.22988
24148,"Addison Rae, Charli XCX",5397,41902,7.7625,2.17048,-0.7825
24149,"LE SSERAFIM, PinkPantheress",3904,30525,7.8169,2.17667,-0.77345
24150,"The Weeknd, Anitta",11437,180527,15.78309,2.82037,0.16765
24151,"Charli xcx, Hannah Diamond",3565,16067,4.5056,1.70576,-1.46194
24152,"Shygirl, Club Shy, Saweetie",2071,10765,5.19546,1.82381,-1.28935
24153,"LISA, ROSALÍA",14614,607390,41.55935,3.75089,1.5281
24154,"Ariana Grande, Cynthia Erivo",5994,82241,13.71826,2.68908,-0.02429
24155,"SOPHIE, Evita Manji",2302,15227,6.61181,2.0297,-0.98833
24156,"Charli XCX, Kim Petras, Slayyyter",1639,8597,5.24207,1.83131,-1.27838
24157,"Victoria, Anitta",2781,29664,10.66283,2.4564,-0.36448
24158,"Shygirl, SG Lewis, Club Shy",3169,16717,5.2735,1.83633,-1.27104
24159,"FKA twigs, The Weeknd",10631,65375,6.14889,1.96695,-1.08007
24160,"Charli XCX, Uffie",2195,9097,4.14253,1.63754,-1.56168
24161,"Charli xcx, Starrah, RAYE",2327,10970,4.71219,1.7426,-1.40808
24162,"SOPHIE, Kim Petras, BC Kingdom",3530,28565,8.08977,2.20714,-0.72891
24163,"Katy Perry, 21 Savage",3238,27505,8.49181,2.25042,-0.66563
24164,"Charli XCX, ABRA",2499,12515,5.006,1.79275,-1.33476
24165,"Troye Sivan, Guitarricadelafuente",7639,61738,8.08089,2.20617,-0.73032
24166,"Tove Lo, SG Lewis",9263,146879,15.85481,2.82463,0.17387
24167,"Torren Foot, Azealia Banks",6689,54968,8.21644,2.22098,-0.70867
24168,"100 gecs, Charli XCX, Rico Nasty, Kero Kero Bonito",8724,43719,5.01077,1.79355,-1.33359
24169,"Katy Perry, JID",2829,27419,9.68869,2.36918,-0.492
24170,"Wicked Movie Cast, Ariana Grande, Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke, Jenna Boyd",4046,52219,12.90313,2.63211,-0.10759
24171,"Shygirl, Danny L Harle, Club Shy",2885,16391,5.67948,1.89904,-1.17936
24172,"SOPHIE, Cecile Believe",1950,11041,5.65914,1.89599,-1.18382
24173,"Troye Sivan, Ariana Grande",12880,76228,5.91786,1.9341,-1.1281
24174,"SOPHIE, BC Kingdom, LIZ",1584,10030,6.32807,1.99171,-1.04387
24175,"FKA twigs, Shygirl",7452,50056,6.71622,2.04332,-0.96842
24176,"Shygirl, Club Shy, Yseult",2031,14240,7.00787,2.08042,-0.91417
24177,Jessica 6,36659,517682,14.12116,2.71609,0.01519
24178,BAMILY,35025,187677,5.35821,1.84974,-1.25144
24179,Stella Explorer,24522,164446,6.70578,2.04197,-0.97039
24180,Hard Feelings,21174,129913,6.1352,1.96504,-1.08286
24181,Samuel Miller,18064,67435,3.7329,1.55453,-1.68304
24182,Эрика Лундмоен,20686,376326,18.19142,2.95446,0.36369
24183,Lilja Bloom,24459,130051,5.31688,1.84322,-1.26097
24184,Midnight To Monaco,38263,248391,6.4915,2.01376,-1.01163
24185,Haich Ber Na,55259,279551,5.05883,1.80151,-1.32195
24186,Paco Versailles,55268,506430,9.163,2.31875,-0.56573
24187,GEN.KLOUD,89138,651539,7.30924,2.11736,-0.86017
24188,DoomBird,14517,81765,5.63197,1.8919,-1.1898
24189,Tube & Berger,182911,1209643,6.61325,2.02989,-0.98805
24190,Monogem,67899,419610,6.17982,1.97127,-1.07375
24191,Stayloose,120147,860676,7.16346,2.09966,-0.88604
24192,SHLAKOBLOCHINA,3940,65739,16.68079,2.87247,0.24382
24193,Ольга Серябкина,12777,304439,23.82524,3.21186,0.74002
24194,Анна Седокова,24588,329650,13.4064,2.66767,-0.0556
24195,Zivert,65558,2526531,38.53827,3.67726,1.42045
24196,Ханна,24883,389814,15.66524,2.81332,0.15734
24197,SLAVA KAMINSKA,2997,39805,13.27718,2.65866,-0.06877
24198,daKooka,64322,1236949,19.23027,3.00717,0.44075
24199,MIA BOYKA,19136,340765,17.8066,2.9342,0.33407
24200,Elvira T,39146,606027,15.4808,2.80219,0.14107
24201,kavabanga Depo kolibri,25639,396057,15.44684,2.80013,0.13805
24202,Dashi,4291,51329,11.95922,2.5618,-0.21038
24203,ESTRADARADA,23966,211292,8.81595,2.284,-0.61653
24204,Molly,68507,860248,12.55689,2.60689,-0.14446
24205,VESNA305,17263,284579,16.48395,2.86128,0.22746
24206,Karna.val,22406,319926,14.27794,2.7264,0.03026
24207,"Calvin Harris, Rag'n'Bone Man",11658,55574,4.76661,1.75208,-1.39422
