ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog
13836,Vittorio Amandola,2069,8249,3.98502,1.60643
13837,Grazia Di Michele,2820,17394,6.16589,1.96933
13838,Bluem,11244,96087,8.54486,2.256
13839,Sara e Matteo,700,6196,8.8388,2.28633
13840,La Titto Band,784,3812,4.85605,1.76747
13841,Dolores Olioso,1629,10617,6.51349,2.0167
13842,Mamma Me La Canti,665,6574,9.87087,2.38608
13843,Paolo Serazzi,1392,30681,22.02512,3.13658
13844,Serena E I Bimbi Allegri,1325,14200,10.70889,2.46034
13845,Anna Maria Gheltrito,678,3226,4.7511,1.74939
13846,ginetta,994,9947,9.99698,2.39762
13847,Daniela Cologgi,1082,6033,5.57063,1.8826
13848,Little Baby Bum Filastrocca Amici,655,4107,6.26067,1.98247
13849,Daria Toffali,1426,10331,7.23966,2.10895
13850,Mauro Di Maggio,4104,15071,3.67137,1.54145
13851,Eros Ramazzotti & Ricky Martin,15796,66270,4.1951,1.64771
13852,Eros Ramazzotti & Anastacia,31660,141107,4.4568,1.69686
13853,Lucio Dalla & Francesco De Gregori,7709,38741,5.02477,1.79587
13854,Mina & Adriano Celentano,4726,30798,6.51533,2.01694
13855,Enzo Avitabile,14000,131196,9.37047,2.33896
13856,Umberto Balsamo,3370,12909,3.82942,1.57472
13857,J Ax & The Styles,2652,16218,6.11307,1.96193
13858,Eros Ramazzotti & Tina Turner,46451,230227,4.95623,1.78443
13859,Mondo Marcio Vs Finley,2164,9961,4.60092,1.72293
13860,Space One,2427,12518,5.15568,1.81737
13861,Otto Ohm,8655,148906,17.20263,2.90156
13862,Alessio,15677,162556,10.36841,2.43083
13863,Salvo Nicolosi,1677,9244,5.50893,1.87317
13864,Janax,4282,30168,7.04366,2.08488
13865,Antonio Sorrentino,5955,24426,4.10107,1.62945
13866,Mino Vergnaghi,1509,4314,2.85695,1.34987
13867,Catarrhal Noise,1473,71236,48.32835,3.89849
13868,Herman Medrano,2196,39579,18.01502,2.94522
13869,Sir Oliver Skardy,1054,13946,13.21895,2.65457
13870,Peter Punk,3840,89739,23.36344,3.19308
13871,Hilimoni,141,5754,40.52112,3.7262
13872,Cattive Abitudini,2632,54625,20.74629,3.07944
13873,Gerson,2967,47566,16.02628,2.83475
13874,L'Invasione degli Omini Verdi,3386,70711,20.87717,3.08544
13875,Bambole di Pezza,5165,73808,14.28726,2.72701
13876,Shandon,14543,228130,15.6855,2.81454
13877,beer brodaz,779,10529,13.49871,2.67405
13878,The Bastard Sons Of Dioniso,5931,97279,16.39902,2.85641
13879,Duracel,2128,24806,11.65147,2.53777
13880,Scacciapensieri,347,11562,33.22413,3.53293
13881,Skruigners,7471,310679,41.57909,3.75136
13882,Persiana Jones,25551,340208,13.31433,2.66126
13883,Bull Brigade,3413,118242,34.63444,3.57331
13884,Bad Frog,783,11530,14.70663,2.75408
13885,Prozac +,7165,166553,23.24211,3.18809
13886,Nerorgasmo,5329,226312,42.46003,3.77184
13887,FFD,5212,50244,9.63821,2.36445
13888,Tommi e Gli Onesti Cittadini,268,10747,39.95167,3.71239
13889,Marco Manca,2007,13812,6.87848,2.06413
13890,Naomi Rivieccio,485,2690,5.53497,1.87716
13891,Julien Alluguette,2032,10683,5.25479,1.83334
13892,David García Llop,2274,12072,5.30637,1.84156
13893,the spleen orchestra,216,1814,8.35944,2.23638
13894,Le Mani,2462,17848,7.24644,2.10978
13895,Roberta Bonanno,1188,8431,7.09083,2.09073
13896,Carmen Russo,155,1089,6.98076,2.07703
13897,Mariangela,6546,33527,5.12097,1.81172
13898,Patrizia Pellegrino,2295,12657,5.51263,1.87374
13899,Francesco Salvi,2546,14973,5.87868,1.92842
13900,barbara d'urso,117,788,6.67796,2.03835
13901,Jerry Calà,1066,3926,3.67947,1.54318
13902,Nanni Svampa,5843,54963,9.40503,2.34228
13903,Alberto Sordi,3401,13712,4.03057,1.61553
13904,Checco Zalone,15193,129197,8.50315,2.25162
13905,Gianni Drudi,3543,20444,5.76862,1.91229
13906,Diego Abatantuono,1884,5345,2.83554,1.34431
13907,Quintorigo,24665,278020,11.27138,2.50726
13908,Gli Atroci,5655,205502,36.33345,3.61988
13909,NXFEIT,8870,314024,35.39894,3.59453
13910,pseudospettri,3201,68830,21.49594,3.11333
13911,zyrtck,8074,706120,87.4452,4.48238
13912,20025xs,2755,20430,7.41291,2.12976
13913,Pthread,247,3380,13.62903,2.683
13914,Pisciosangue,930,20518,22.03866,3.13717
13915,Narcolessia,1558,72040,46.2091,3.85458
13916,(DANZƏ),2957,72456,24.49492,3.23847
13917,keiden,6890,37303,5.41329,1.85837
13918,LILTAGLIAGOLE,2724,105902,38.86311,3.68545
13919,DAM81,1381,25910,18.74819,2.98306
13920,Marco444,892,18488,20.70324,3.07746
13921,Laura Chiatti,3160,22701,7.18158,2.10188
13922,Maria Cristina Brancucci,1690,6717,3.9722,1.60386
13923,Mirko Pontrelli,1287,5423,4.2104,1.65065
